group,CANALES
Canal13.ar,Canal 13,rtsp://stream.eltrecetv.com.ar/live13/13tv/13tv1
13tv.es,13TV,http://streaming.enetres.net:80/091DB7AFBD77442B9BA2F141DCC182F5021/mobile/playlist.m3u8
ext,Telemax,http://live-edge01.telecentro.net.ar/live/smil:tlx.smil/master.m3u8
26TV.ar,CANAL 26,rtsp://live-edge01.telecentro.net.ar:80/live/26hd-360
TVChili.se,Tv Chile,http://edge-61-cl.edge.mdstrm.com/tvn-live/_definst_/smil:285a5c6dade574d5f111419c85c6cf17/chunklist_b800000.m3u8
TVChili.se,TV Chile,http://edge-12-cl.edge.mdstrm.com/tvn-live/smil:285a5c6dade574d5f111419c85c6cf17/master.m3u8
ext,BBTV canal 9,http://wow2.cl.digitalproserver.com/c9//c9.smil/hasbahca.m3u8
Lared.cl,La Red,http://wow1.lax.digitalproserver.com/redtv/redtvvivo/livestream1/hasbahca.m3u8
stb,Mega HD,http://edge-61-cl.edge.mdstrm.com/live/smil:db6a38a0a2bffd96d01965c4d975b9fb/playlist.m3u8?
ext,Valle Television 2,http://cdn.streamingmedia.cl:1935/live/rtmp.stream/hasbahca.m3u8
AragonTVsat.sp,Aragon TV Sat,http://149.11.34.6:1935/live/aragontv.stream/vcx7.m3u8
24horas.sp,24Horas,http://iphonelive.rtve.es/24H_LV3_IPH/bitrate_2.m3u8
24horas.sp,24HORAS,http://iphonelive.rtve.es/24H_LV3_IPH/24H_LV3_IPH.m3u8
ext,324NOTICIES,http://ccma-tva-int-abertis-live.hls.adaptive.level3.net/int/ngrp:324_mobil/playlist.m3u8
ext,Spain:IB3,http://ibsatiphone.ib3tv.com/iphoneliveIB3/IB3/IB3.m3u8
ext,TV Canarias,http://streamrtvcdrb.mad.idec.net/rtvcnet/rtvcnet.drb.stream/playlist.m3u8
ext,TELEAYUDA,rtmp://87.106.244.74:1935/live/myStream_2
travel,TRAVEL TV,rtmp://87.106.219.140:1935/live/myStream_2
ext,NAZARENO.TV,rtmp://87.106.232.7:1935/live/myStream_2
axn,10,rtmp://87.106.220.67:1935/live/myStream_2

group,Audio - Radio
ext,Radio 50\'s,http://buecrplb01.cienradios.com.ar/50_32000.aac
ext,Radio 60\'s,http://buecrplb01.cienradios.com.ar/60_32000.aac
ext,Radio 70\'s,http://buecrplb01.cienradios.com.ar/70_Internacional_32000.aac
ext,70\'s USA,http://buecrplb01.cienradios.com.ar/Los_Numero_1_de_los_70_USA_32000.aac
ext,Radio Beatles,http://108.61.73.119:8062/;stream.nsv
ext,Radio 80´s,http://buecrplb01.cienradios.com.ar/80_Internacional_32000.aac
ext,80\'s Argentina,http://buecrplb01.cienradios.com.ar/80_Nacional_32000.aac
ext,80\'s USA,http://buecrplb01.cienradios.com.ar/Los_Numero_1_de_los_80_USA_32000.aac
ext,90\'s Internacional,http://buecrplb01.cienradios.com.ar/90_Internacional_32000.aac
ext,90\'s Europa,http://buecrplb01.cienradios.com.ar/Los_Numero_1_de_los_90_UK_32000.aac
ext,Adulto Contemporaneo,http://buecrplb01.cienradios.com.ar/Adulto_Contemporaneo_32000.aac
Baladas.br,Baladas,http://buecrplb01.cienradios.com.ar/Power_Ballads_32000.aac
Bossanova.br,Bossa Nova,http://buecrplb01.cienradios.com.ar/Bossa_Nova_32000.aac
ext,Brasil,http://buecrplb01.cienradios.com.ar/Brasil_32000.aac
ext,BritPop,http://buecrplb01.cienradios.com.ar/Britpop_32000.aac
ext,Chillout,http://buecrplb01.cienradios.com.ar/Chillout_32000.aac
ext,JPop,http://pub1.radiotunes.com:80/radiotunes_jpop?c99c0d59b19e3b7c9f99d515
ext,Country,http://pub8.radiotunes.com:80/radiotunes_country?c99c0d59b19e3b7c9f99d515
ext,Cuarteto,http://buecrplb01.cienradios.com.ar/Cuarteto_32000.aac
ext,Estrenos,http://buecrplb01.cienradios.com.ar/Estrenos_32000.aac
ext,Electronica,http://buecrplb01.cienradios.com.ar/Electronico_32000.aac
ext,Electro Tango,http://buecrplb01.cienradios.com.ar/Electronic_Tango_32000.aac?
ext,Fiesta Dance,http://buecrplb01.cienradios.com.ar/Fiesta_Dance_32000.aac
ext,Lentos,http://buecrplb01.cienradios.com.ar/Lentos_32000.aac
ext,Live music,http://buecrplb01.cienradios.com.ar/Vivo_32000.aac
ext,Raggae,http://buecrplb01.cienradios.com.ar/Reggae_32000.aac
ext,Reggaeton,http://buecrplb01.cienradios.com.ar/Reggaeton_32000.aac
ext,Rock Hits,http://buecrplb01.cienradios.com.ar/Rock_Hits_32000.aac
ext,Rock Latino,http://buecrplb01.cienradios.com.ar/Rock_Latinoamericano_32000.aac
Salsa.us,Salsa,http://buecrplb01.cienradios.com.ar/Salsa_32000.aac
SmoothJazz.us,Smooth Jazz,http://buecrplb01.cienradios.com.ar/Smooth_Jazz_32000.aac
ext,Mellow Jazz,http://pub6.radiotunes.com:80/radiotunes_mellowjazz?c99c0d59b19e3b7c9f99d515
ext,Top 40,http://buecrplb01.cienradios.com.ar/Top_40_32000.aac
ext,Top Europa,http://buecrplb01.cienradios.com.ar/Top_Europa_32000.aac
ext,Top USA,http://buecrplb01.cienradios.com.ar/Top_USA_32000.aac
